Date,Product,Status,Supplier,Material,avg_lead_time,on_time_rate,quality_score,criticality,quantity
2025-03-01,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-02,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-03,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-04,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-05,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-06,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-07,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-08,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-09,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-10,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-11,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-12,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-13,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-14,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-15,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-16,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-17,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-18,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-19,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-20,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-21,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-22,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-23,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-24,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-25,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-26,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-27,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-03-28,Widget A,Delivered,Supplier X,Material 1,5,0.9,0.85,High,100
2025-03-29,Widget B,Delayed,Supplier Y,Material 2,7,0.6,0.75,Medium,200
2025-03-30,Widget C,Pending,Supplier Z,Material 3,4,0.95,0.9,Low,150
2025-04-10,Widget C,Pending,Supplier X,Material 1,8,0.68,0.94,High,205
2025-04-10,Widget B,Delivered,Supplier W,Material 4,4,0.68,0.94,Medium,189
2025-04-14,Widget B,Delayed,Supplier Y,Material 4,10,0.91,0.8,Medium,217
2025-04-03,Widget D,Delayed,Supplier X,Material 1,6,0.83,0.72,Low,163
2025-04-23,Widget A,Delivered,Supplier Y,Material 2,4,0.94,0.81,High,192
2025-04-14,Widget C,Delayed,Supplier W,Material 2,9,0.5,0.91,Medium,275
2025-04-02,Widget B,Delivered,Supplier Z,Material 4,5,0.62,0.71,Medium,131
2025-04-01,Widget C,Pending,Supplier Z,Material 1,3,0.83,0.77,Medium,152
2025-04-20,Widget B,Delivered,Supplier W,Material 4,6,0.76,0.74,Low,161
2025-04-03,Widget D,Delayed,Supplier X,Material 1,8,0.98,0.9,High,207
2025-04-22,Widget A,Delivered,Supplier Y,Material 1,10,0.73,0.72,High,118
2025-04-12,Widget B,Delayed,Supplier Y,Material 4,3,0.89,0.82,Medium,292
2025-04-10,Widget A,Delayed,Supplier Z,Material 2,10,0.72,0.79,High,233
2025-04-10,Widget B,Delivered,Supplier X,Material 4,8,0.63,0.77,Medium,87
2025-04-07,Widget D,Pending,Supplier X,Material 4,9,0.87,0.7,Low,260
2025-03-31,Widget C,Delivered,Supplier W,Material 3,6,0.8,0.92,Medium,129
2025-04-15,Widget D,Delayed,Supplier Y,Material 2,9,0.51,0.92,High,54
2025-04-10,Widget B,Delivered,Supplier Z,Material 1,7,0.76,0.85,Low,207
2025-04-10,Widget D,Delivered,Supplier Y,Material 2,7,0.52,0.85,Medium,223
2025-04-06,Widget A,Delivered,Supplier Y,Material 4,3,0.56,0.78,Low,210
2025-05-03,Widget D,Delayed,Supplier W,Material 2,4,0.66,0.89,Medium,106
2025-04-06,Widget A,Pending,Supplier Z,Material 1,6,1.0,0.77,Medium,89
2025-05-07,Widget A,Delayed,Supplier Z,Material 4,5,0.94,0.75,Medium,259
2025-04-03,Widget B,Pending,Supplier Y,Material 4,4,0.52,0.94,Medium,246
2025-04-21,Widget A,Delayed,Supplier Y,Material 2,7,0.77,0.92,High,126
2025-05-08,Widget B,Delayed,Supplier Y,Material 2,9,0.69,0.91,High,55
2025-05-10,Widget B,Delayed,Supplier W,Material 4,4,0.55,0.7,Medium,299
2025-04-14,Widget D,Delivered,Supplier Z,Material 3,5,0.59,0.87,High,60
2025-04-26,Widget C,Pending,Supplier W,Material 3,5,0.65,0.77,Low,115
2025-04-30,Widget A,Pending,Supplier W,Material 3,10,0.81,0.81,Low,270
2025-04-21,Widget A,Delivered,Supplier Y,Material 1,6,0.87,0.86,Low,172
2025-04-01,Widget B,Pending,Supplier W,Material 1,8,0.57,0.73,Medium,215
2025-04-10,Widget D,Delivered,Supplier W,Material 4,4,0.91,0.73,High,290
2025-04-14,Widget D,Delayed,Supplier Y,Material 2,6,0.72,0.93,Low,196
2025-04-23,Widget C,Delivered,Supplier X,Material 4,10,0.55,0.74,High,141
2025-05-11,Widget D,Pending,Supplier X,Material 1,10,0.92,0.87,High,96
2025-04-18,Widget C,Delivered,Supplier X,Material 4,6,0.84,0.72,Low,85
2025-04-22,Widget D,Delivered,Supplier Y,Material 4,9,0.55,0.82,Medium,57
2025-05-07,Widget B,Delayed,Supplier W,Material 4,10,0.97,0.91,High,126
2025-04-23,Widget C,Delivered,Supplier X,Material 3,3,0.59,0.91,Low,202
2025-04-23,Widget B,Delivered,Supplier X,Material 1,5,0.53,0.73,High,117
2025-05-10,Widget C,Pending,Supplier Y,Material 2,5,0.91,0.76,High,257
2025-05-05,Widget B,Delayed,Supplier W,Material 3,8,0.52,0.86,Low,252
2025-04-10,Widget C,Delivered,Supplier Y,Material 2,8,0.63,0.83,Medium,70
2025-05-08,Widget B,Delayed,Supplier W,Material 4,9,0.69,0.8,Low,126
2025-05-12,Widget B,Delayed,Supplier Z,Material 1,6,0.72,0.8,Low,220
2025-04-16,Widget C,Pending,Supplier Y,Material 4,3,0.57,0.73,High,93
2025-04-20,Widget B,Pending,Supplier Y,Material 3,5,0.5,0.75,High,222
2025-04-03,Widget C,Delayed,Supplier W,Material 2,4,0.83,0.93,Medium,241
2025-04-19,Widget B,Pending,Supplier Z,Material 1,5,0.66,0.88,Low,74
2025-05-12,Widget A,Pending,Supplier Z,Material 1,3,0.67,0.76,Medium,168
2025-05-11,Widget D,Pending,Supplier Y,Material 3,7,0.82,0.81,High,286
2025-04-15,Widget B,Delayed,Supplier Z,Material 3,5,0.92,0.89,High,252
2025-04-14,Widget B,Pending,Supplier W,Material 4,6,0.51,0.92,Medium,135
2025-04-05,Widget B,Delayed,Supplier Y,Material 4,7,0.74,0.84,Medium,264
2025-03-31,Widget D,Pending,Supplier Z,Material 1,7,0.63,0.78,High,240
2025-04-07,Widget D,Delivered,Supplier Y,Material 4,8,0.82,0.91,Low,121
2025-05-08,Widget A,Delayed,Supplier Y,Material 4,8,0.61,0.89,High,263
2025-05-03,Widget C,Pending,Supplier Y,Material 2,9,0.68,0.81,High,221
2025-05-09,Widget A,Delayed,Supplier Y,Material 4,7,0.51,0.75,Medium,246
2025-04-12,Widget B,Delayed,Supplier Z,Material 1,8,0.84,0.92,Low,221
